time(s),timeDifference(ms),distance(cm),angle(degrees)
1.45,723684,36.33,88
1.51,788448,36.33,88
1.58,789492,36.33,88
1.64,854236,36.33,88
1.71,855280,36.33,88
1.77,920020,35.87,88
1.84,921072,36.33,88
1.91,985808,36.33,88
1.97,986880,36.77,88
2.04,1051604,36.33,88
2.10,1052712,36.33,88
2.17,1117440,36.33,88
2.24,1118564,36.53,88
2.30,1183292,36.33,88
2.37,1184396,36.33,88
2.43,1249128,36.07,88
2.50,1250232,36.33,88
2.57,1314952,36.23,88
2.63,1316068,36.33,88
2.70,1380780,36.09,88
2.76,1381896,36.33,88
2.83,1446612,36.33,88
2.89,1447724,36.09,88
2.96,1512452,36.33,87
3.03,1513548,36.23,88
3.09,1578292,36.33,88
3.16,1579376,36.33,87
